,stat_type,player_id,player_name,team_id,team_name,outs,earned_runs,home_runs_allowed,walks,hit_batters,strikeouts,hits_allowed,wins,losses,saves,blown_saves,unearned_runs,appearances,starts,positiontype,IP,ERA,WHIP,K9,BB9,HR9,FIP,league_name,league_id,team_win_diff,singles,doubles,triples,home_runs,at_bats,walked,hit_by_pitch,plate_appearances,stolen_bases,caught_stealing,struck_out,runs,runs_batted_in,sac_flies,groundouts,flyouts,popouts,lineouts,hitting,TB,BA,OBP,SLG,OPS,BABIP,SB%,K%,BB%,ISO,league_type
10,pitching,6887d47518e81770515baab3,Garfield Nova,680a505c87875f7f639d0379,,22.0,3.0,1.0,3.0,0.0,8.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,7.333333333333333,3.681818181818182,1.3636363636363638,9.818181818181818,3.681818181818182,1.2272727272727273,3.572714915155514,Isosceles,6805db0cac48194de3cd3fe9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lesser
11,pitching,68410a79e63d9bb872889bbb,Zawacki Cruz,6807927bce5a952465d7c51d,,53.0,12.0,3.0,15.0,1.0,6.0,25.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,,17.666666666666668,6.113207547169811,2.2641509433962264,3.0566037735849054,7.641509433962264,1.5283018867924527,6.99981611584162,Isosceles,6805db0cac48194de3cd3fe9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lesser
12,pitching,6887d48a18e81770515bc5ca,Shaun Stevenson,68100c08c541cfa149e721e3,,12.0,7.0,1.0,4.0,0.0,3.0,9.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,4.0,15.75,3.25,6.75,9.0,2.25,7.504533096973695,Isosceles,6805db0cac48194de3cd3fe9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lesser
13,pitching,689a6daf760242d10ffddbf6,Caleb Phelps,689a686a19fb922f37f625d7,,240.0,39.0,8.0,37.0,11.0,60.0,71.0,4.0,0.0,1.0,1.0,0.0,32.0,0.0,,80.0,4.3875,1.35,6.75,4.1625,0.9,4.354533096973696,Isosceles,6805db0cac48194de3cd3fe9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lesser
14,pitching,68f922e626765cf773e74520,Etta Somersby,68f9208985bfb4d8eac4e489,,259.0,56.0,17.0,42.0,10.0,73.0,93.0,4.0,7.0,0.0,0.0,1.0,13.0,13.0,,86.33333333333333,5.837837837837838,1.5637065637065637,7.61003861003861,4.378378378378379,1.7722007722007722,5.4302087726493715,Isosceles,6805db0cac48194de3cd3fe9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lesser
15,pitching,6841c87b183c892d88a1023e,Manuel Cranston,6807b079ad144ec1a39c65bb,,517.0,83.0,31.0,75.0,28.0,173.0,139.0,13.0,10.0,0.0,1.0,3.0,25.0,25.0,,172.33333333333334,4.3346228239845255,1.241779497098646,9.034816247582205,3.9168278529980656,1.6189555125725337,4.878324199488203,Isosceles,6805db0cac48194de3cd3fe9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lesser
16,pitching,68418fcf295b2368c0ac7a13,Kennedy Moroz,680a505c87875f7f639d0379,,551.0,52.0,17.0,54.0,16.0,221.0,127.0,17.0,6.0,0.0,0.0,0.0,25.0,25.0,,183.66666666666666,2.5480943738656987,0.985480943738657,10.82940108892922,2.6460980036297643,0.8330308529945554,2.6946419898956555,Isosceles,6805db0cac48194de3cd3fe9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lesser
17,pitching,6841ace2925dd4f9d72ac3c5,Edith Leon,680e477a7d5b06095ef46ad1,,475.0,67.0,18.0,76.0,12.0,227.0,124.0,9.0,8.0,0.0,1.0,0.0,24.0,24.0,Pitcher,158.33333333333334,3.8084210526315787,1.263157894736842,12.903157894736841,4.319999999999999,1.023157894736842,3.032427833815801,Isosceles,6805db0cac48194de3cd3fe9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lesser
18,pitching,6841e7ea54a7fbd41338776d,Cole Pittman,680935632198112ec9cdb904,,486.0,86.0,28.0,70.0,27.0,161.0,158.0,9.0,12.0,0.0,0.0,2.0,24.0,24.0,,162.0,4.777777777777778,1.4074074074074074,8.944444444444445,3.888888888888889,1.5555555555555556,4.8100886525292506,Isosceles,6805db0cac48194de3cd3fe9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lesser
19,pitching,6840fc08183c892d88a0fac3,Hank Wells,680664c9709b8b12f78c2b83,,498.0,102.0,32.0,58.0,18.0,118.0,181.0,9.0,12.0,0.0,1.0,2.0,25.0,25.0,,166.0,5.530120481927711,1.4397590361445782,6.397590361445783,3.144578313253012,1.7349397590361446,5.2123644222749,Isosceles,6805db0cac48194de3cd3fe9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lesser
20,pitching,6840ff1ae63d9bb87288993d,Adalynn Hale,68067036709b8b12f78c2c2c,,447.0,76.0,22.0,93.0,14.0,189.0,121.0,8.0,11.0,0.0,1.0,0.0,23.0,22.0,,149.0,4.590604026845638,1.436241610738255,11.416107382550335,5.617449664429531,1.3288590604026846,4.291445848651548,Isosceles,6805db0cac48194de3cd3fe9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lesser
21,pitching,6845796ee63d9bb87288a3c2,Flapjack Bux,681e92c41017959663077c0c,,79.0,13.0,2.0,8.0,3.0,13.0,31.0,0.0,3.0,23.0,3.0,3.0,26.0,0.0,,26.333333333333332,4.443037974683545,1.4810126582278482,4.443037974683545,2.7341772151898733,0.6835443037974683,4.007697653935721,Isosceles,6805db0cac48194de3cd3fe9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lesser
22,pitching,68af38c0279d12c878786274,Daigo Perrin,68af35507d5388c228803f89,,267.0,58.0,14.0,51.0,5.0,55.0,100.0,8.0,4.0,1.0,1.0,2.0,43.0,0.0,,89.0,5.865168539325842,1.696629213483146,5.561797752808989,5.157303370786517,1.4157303370786516,5.451162310456842,Isosceles,6805db0cac48194de3cd3fe9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lesser
23,pitching,6841031088056169e007887b,Rashid Overgaard,6806c5dff9b67839f528be60,,207.0,32.0,13.0,29.0,7.0,78.0,53.0,7.0,3.0,1.0,1.0,2.0,25.0,0.0,,69.0,4.173913043478261,1.1884057971014492,10.173913043478262,3.782608695652174,1.6956521739130435,4.508156285379493,Isosceles,6805db0cac48194de3cd3fe9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lesser
24,pitching,6903f27f3661cfbd8fb5deb2,Marguerite Hensley,6903f27f3661cfbd8fb5deb1,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,2.7545330969736956,Isosceles,6805db0cac48194de3cd3fe9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lesser
25,pitching,6887d48018e81770515bb90a,A. Tadesse,680e477a7d5b06095ef46ad1,,10.0,6.0,1.0,3.0,2.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,3.3333333333333335,16.2,2.1,10.799999999999999,8.1,2.6999999999999997,8.754533096973695,Isosceles,6805db0cac48194de3cd3fe9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lesser
26,pitching,68f9223e85bfb4d8eac4e4a7,Jumbo Szabó,68f9208985bfb4d8eac4e489,,285.0,61.0,19.0,50.0,11.0,66.0,112.0,5.0,9.0,0.0,0.0,1.0,16.0,16.0,,95.0,5.778947368421052,1.7052631578947368,6.252631578947368,4.7368421052631575,1.8,5.891375202236853,Isosceles,6805db0cac48194de3cd3fe9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lesser
27,pitching,6845fa2808b7fc5e21e8b37b,Luciana Crawley,68069a789edf4f7b46032846,,14.0,4.0,1.0,5.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,4.666666666666667,7.7142857142857135,1.7142857142857142,7.7142857142857135,9.642857142857142,1.9285714285714284,7.683104525545124,Isosceles,6805db0cac48194de3cd3fe9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lesser
