,,player_id,player_name,team_id,singles,doubles,triples,home_runs,at_bats,walked,hit_by_pitch,plate_appearances,stolen_bases,caught_stealing,struck_out,runs,runs_batted_in,sac_flies,groundouts,flyouts,popouts,lineouts,positiontype,hitting,TB,BA,OBP,SLG,OPS,BABIP,SB%,K%,BB%,ISO
league,32,68796e8dd109b6600af1d16e,Garnet Parkin,68796dd8ee911b762e00736d,61,16,0,13,376,36,15,433,11,6,117,58,51,2,84,43,19,16,,90,145,0.2393617021276596,0.33,0.38563829787234044,0.714309626543669,0.31048387096774194,0.6470588235294118,0.2702078521939954,0.08314087759815242,0.14627659574468085
league,33,6887d4be18e81770515c11e7,Cassandra Yoshikawa,6886fc0840f292b1184c13bc,0,0,0,0,5,1,1,7,0,0,0,1,1,0,4,0,0,1,,0,0,0.0,0.29,0.0,0.2857142857142857,0.0,,0.0,0.14285714285714285,0.0
league,34,6887d47a18e81770515bb1e7,Roberto Akpan,680b055fcb7a15e5259d2c5f,4,2,0,5,60,7,2,69,3,0,22,8,9,1,18,4,1,2,,11,28,0.18333333333333332,0.29,0.4666666666666667,0.7523809523809524,0.17647058823529413,1.0,0.3188405797101449,0.10144927536231885,0.2833333333333333
league,35,6887d4be18e81770515c11e7,Kyrie Luna,6886fc0840f292b1184c13bc,1,0,0,0,13,2,0,14,0,1,4,0,3,0,3,2,1,1,,1,1,0.07692307692307693,0.2,0.07692307692307693,0.27692307692307694,0.1111111111111111,0.0,0.2857142857142857,0.14285714285714285,0.0
league,36,6903f27f3661cfbd8fb5deb2,Marguerite Hensley,6903f27f3661cfbd8fb5deb1,42,11,0,6,282,31,11,330,14,2,70,30,35,2,66,30,17,30,,59,88,0.20921985815602837,0.31,0.3120567375886525,0.6218726885088979,0.2548076923076923,0.875,0.21212121212121213,0.09393939393939393,0.10283687943262412
league,37,6841c867f415a392f7340153,Marilyn Allison,6807b079ad144ec1a39c65bb,65,14,1,15,337,41,12,396,26,8,77,58,46,2,77,40,19,18,,95,156,0.2818991097922849,0.38,0.4629080118694362,0.8404590322775994,0.32388663967611336,0.7647058823529411,0.19444444444444445,0.10353535353535354,0.1810089020771513
league,38,6841bd7008b7fc5e21e8b02a,Jesse McNamara,680e477a7d5b06095ef46ad1,53,10,3,19,347,30,14,398,22,7,108,56,56,5,64,39,22,27,Batter,85,158,0.24495677233429394,0.33,0.4553314121037464,0.7810889878613221,0.29333333333333333,0.7586206896551724,0.271356783919598,0.07537688442211055,0.21037463976945245
league,39,68796e28389f56ec47c98562,Victoria Cobb,68796dd8ee911b762e00736d,63,19,3,17,363,63,15,446,15,1,106,62,58,2,81,27,19,19,,102,178,0.2809917355371901,0.41,0.4903581267217631,0.8966786684824855,0.3512396694214876,0.9375,0.23766816143497757,0.1412556053811659,0.209366391184573
league,40,6903c2713661cfbd8fb5de9f,Dave Cabrera,690392510eddc2cb91160c08,33,6,1,7,249,30,9,291,16,3,86,27,21,3,47,32,10,21,,47,76,0.18875502008032127,0.3,0.30522088353413657,0.6007535295822466,0.25157232704402516,0.8421052631578947,0.29553264604810997,0.10309278350515463,0.1164658634538153
league,41,6903f68940bb7dc07c378150,Kaitlyn House,6903f27f3661cfbd8fb5deb1,11,3,0,4,91,4,7,104,2,1,28,11,14,1,16,13,7,5,,18,33,0.1978021978021978,0.28,0.3626373626373626,0.644190760695615,0.23333333333333334,0.6666666666666666,0.2692307692307692,0.038461538461538464,0.16483516483516483
league,42,684105c388056169e0078905,Satchel Byrd,68080deac78ad8242ad625a6,29,16,2,9,339,54,4,402,15,6,122,39,34,3,68,44,16,23,,56,103,0.16519174041297935,0.28,0.30383480825958703,0.588834808259587,0.22274881516587677,0.7142857142857143,0.3034825870646766,0.13432835820895522,0.13864306784660768
league,43,6864c47f77149281c81ea8e8,Jennifer Nielsen,6864c3f593ee59ce6e2dc497,3,0,0,0,11,1,0,12,1,0,3,2,0,0,1,2,0,1,,3,3,0.2727272727272727,0.33,0.2727272727272727,0.606060606060606,0.375,1.0,0.25,0.08333333333333333,0.0
league,44,6887d44e18e81770515b73d9,Ximena Chand,6806c5dff9b67839f528be60,25,8,1,6,199,24,5,230,5,2,65,17,24,2,36,29,16,7,,40,68,0.20100502512562815,0.3,0.3417085427135678,0.6417085427135678,0.26153846153846155,0.7142857142857143,0.2826086956521739,0.10434782608695652,0.14070351758793967
league,45,68af35507d5388c228803f8c,Jose Chen,68af35507d5388c228803f89,13,3,0,1,78,11,4,92,4,4,26,11,5,0,12,10,3,7,,17,23,0.21794871794871795,0.34,0.2948717948717949,0.6389578163771712,0.3137254901960784,0.5,0.2826086956521739,0.11956521739130435,0.07692307692307693
league,46,684105a5ed58166c1895ac25,Eito Lucas,68080deac78ad8242ad625a6,53,22,1,9,413,45,12,476,21,9,130,54,43,4,97,51,18,22,,85,136,0.20581113801452786,0.3,0.32929782082324455,0.6288758798949745,0.2733812949640288,0.7,0.27310924369747897,0.09453781512605042,0.12348668280871669
league,47,6903f5d1c09ee5e899970bfa,Purple Wisp,6903f27f3661cfbd8fb5deb1,46,6,2,17,313,39,2,358,7,5,93,42,44,2,72,34,11,25,,71,132,0.2268370607028754,0.31,0.4217252396166134,0.7363319811896472,0.2634146341463415,0.5833333333333334,0.25977653631284914,0.10893854748603352,0.194888178913738
league,48,6840fb61ed58166c1895a887,Brenda Lane,680aa067c68e9f3ac834d8d5,76,20,2,16,431,48,7,491,26,5,83,89,43,4,111,58,23,25,,114,186,0.26450116009280744,0.34,0.43155452436194897,0.7764524835456225,0.2916666666666667,0.8387096774193549,0.1690427698574338,0.09775967413441955,0.16705336426914152
