outer_id,inner_id,allowed_stolen_bases,allowed_stolen_bases_risp,assists,assists_risp,at_bats,at_bats_risp,caught_stealing,caught_stealing_risp,double_plays,double_plays_risp,doubles,doubles_risp,field_out,field_out_risp,flyouts,flyouts_risp,force_outs,force_outs_risp,grounded_into_double_play,grounded_into_double_play_risp,groundouts,groundouts_risp,hit_by_pitch,hit_by_pitch_risp,home_runs,home_runs_risp,left_on_base,left_on_base_risp,lineouts,lineouts_risp,plate_appearances,plate_appearances_risp,popouts,popouts_risp,putouts,putouts_risp,reached_on_error,reached_on_error_risp,runners_caught_stealing,runners_caught_stealing_risp,runs,runs_batted_in,runs_batted_in_risp,runs_risp,sac_flies,singles,singles_risp,stolen_bases,stolen_bases_risp,struck_out,struck_out_risp,triples,walked,walked_risp,caught_double_play,caught_double_play_risp,errors,errors_risp,fielders_choice,fielders_choice_risp,appearances,batters_faced,batters_faced_risp,games_finished,outs,pitches_thrown,pitches_thrown_risp,strikeouts,strikeouts_risp,triples_risp,earned_runs,earned_runs_risp,hit_batters,hit_batters_risp,hits_allowed,hits_allowed_risp,home_runs_allowed,home_runs_allowed_risp,losses,mound_visits,quality_starts,starts,walks,walks_risp,wins,complete_games,ejected,unearned_runs,unearned_runs_risp,balks,balks_risp,inherited_runners,inherited_runners_risp,inherited_runs_allowed,inherited_runs_allowed_risp,blown_saves,saves,sacrifice_double_plays,sacrifice_double_plays_risp,shutouts,no_hitters
6806898df9b67839f528ba08,684284d5e2d7557e153ccaf3,nan,nan,2.0,1.0,262.0,69.0,5.0,nan,2.0,1.0,15.0,6.0,101.0,23.0,29.0,6.0,10.0,5.0,4.0,2.0,49.0,13.0,7.0,nan,4.0,nan,82.0,56.0,16.0,2.0,303.0,75.0,12.0,5.0,154.0,41.0,1.0,nan,nan,nan,25.0,25.0,21.0,16.0,2.0,41.0,12.0,8.0,3.0,84.0,20.0,1.0,31.0,7.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6806898df9b67839f528ba08,684284f2896f631e9d689698,nan,nan,nan,nan,260.0,69.0,3.0,1.0,nan,nan,6.0,2.0,97.0,22.0,26.0,7.0,6.0,4.0,7.0,1.0,50.0,8.0,11.0,3.0,6.0,1.0,82.0,60.0,17.0,5.0,313.0,81.0,13.0,5.0,139.0,32.0,1.0,nan,nan,nan,34.0,29.0,23.0,26.0,4.0,39.0,13.0,17.0,5.0,96.0,25.0,1.0,36.0,13.0,1.0,1.0,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6806898df9b67839f528ba08,6842850bec9dc637cfd0d18f,nan,nan,nan,nan,246.0,56.0,3.0,nan,nan,nan,11.0,2.0,99.0,17.0,36.0,4.0,7.0,1.0,4.0,nan,48.0,11.0,9.0,3.0,5.0,nan,80.0,54.0,12.0,3.0,295.0,70.0,9.0,1.0,nan,nan,3.0,1.0,nan,nan,37.0,28.0,18.0,26.0,3.0,40.0,9.0,16.0,5.0,73.0,24.0,1.0,35.0,10.0,1.0,1.0,nan,nan,2.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6806898df9b67839f528ba08,68428551f7b5d3bf791d6db2,nan,nan,8.0,3.0,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,15.0,428.0,79.0,2.0,294.0,1458.0,277.0,94.0,19.0,nan,53.0,39.0,8.0,1.0,98.0,18.0,16.0,4.0,7.0,7.0,5.0,15.0,38.0,7.0,4.0,1.0,nan,2.0,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6806898df9b67839f528ba08,68428567295b2368c0ac7c23,nan,nan,7.0,1.0,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14.0,387.0,71.0,3.0,276.0,1352.0,278.0,107.0,25.0,nan,39.0,21.0,6.0,2.0,80.0,14.0,17.0,2.0,4.0,8.0,7.0,14.0,34.0,6.0,7.0,3.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan
6806898df9b67839f528ba08,68428581925dd4f9d72ac598,nan,nan,8.0,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14.0,403.0,76.0,5.0,280.0,1225.0,235.0,75.0,17.0,nan,40.0,25.0,11.0,3.0,88.0,19.0,13.0,2.0,7.0,8.0,6.0,14.0,28.0,5.0,3.0,1.0,1.0,2.0,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan
6806898df9b67839f528ba08,684285ab295b2368c0ac7c26,nan,nan,5.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14.0,417.0,95.0,2.0,273.0,1430.0,342.0,93.0,19.0,nan,59.0,42.0,10.0,2.0,102.0,21.0,18.0,5.0,7.0,12.0,5.0,14.0,41.0,14.0,5.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6806898df9b67839f528ba08,684285cc8ba62cf2ce8d95b0,nan,nan,20.0,3.0,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14.0,469.0,129.0,9.0,314.0,1379.0,388.0,52.0,12.0,nan,50.0,37.0,14.0,6.0,107.0,28.0,11.0,3.0,8.0,9.0,7.0,14.0,42.0,18.0,4.0,5.0,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan
6806898df9b67839f528ba08,684285fe295b2368c0ac7c28,nan,nan,5.0,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.0,139.0,37.0,9.0,97.0,552.0,156.0,36.0,11.0,nan,18.0,16.0,1.0,nan,23.0,10.0,5.0,3.0,1.0,3.0,nan,nan,21.0,9.0,1.0,nan,nan,1.0,1.0,nan,nan,19.0,19.0,9.0,9.0,nan,nan,nan,nan,nan,nan
6806898df9b67839f528ba08,6842862054a7fbd41338787f,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,20.0,205.0,66.0,14.0,146.0,628.0,196.0,37.0,12.0,nan,18.0,9.0,4.0,2.0,38.0,9.0,7.0,nan,4.0,3.0,nan,nan,21.0,5.0,3.0,nan,nan,7.0,7.0,nan,nan,13.0,13.0,5.0,4.0,nan,nan,nan,nan,nan,nan
