player_id,player,boon,stat,plus,minus,net_impact,intercept,pct_impact,direction,weight,signed_net,signed_pct,signed_pct_filled
68884943570d8b89bc15a116,Travis Mae,Fae,whip,-0.017059,0.118,0.100941,1.8091445204860357,5.5795,-1.0,1.0,-0.100941,-5.5795,-5.5795
68884943570d8b89bc15a116,Travis Mae,One With All,avg,0.0,0.0,0.0,0.3014750679107682,0.0,1.0,1.0,0.0,0.0,0.0
68884943570d8b89bc15a116,Travis Mae,One With All,era,-0.493989,0.176174,-0.317816,6.8133473730075576,-4.6646,-1.0,1.0,0.317816,4.6646,4.6646
68884943570d8b89bc15a116,Travis Mae,One With All,fip,-0.507151,0.166351,-0.3408,7.066868894970457,-4.8225,-1.0,1.0,0.3408,4.8225,4.8225
68884943570d8b89bc15a116,Travis Mae,One With All,obp,0.0,0.0,0.0,0.2663122788858794,0.0,1.0,1.0,0.0,0.0,0.0
68884943570d8b89bc15a116,Travis Mae,One With All,ops,0.0,0.0,0.0,0.5331873843040336,0.0,1.0,1.0,0.0,0.0,0.0
68884943570d8b89bc15a116,Travis Mae,One With All,slg,0.0,0.0,0.0,0.2668751054181542,0.0,1.0,1.0,0.0,0.0,0.0
68884943570d8b89bc15a116,Travis Mae,One With All,whip,-0.11064,0.0255,-0.08514,1.8091445204860357,-4.7061,-1.0,1.0,0.08514,4.7061,4.7061
68884943570d8b89bc15a116,Travis Mae,Archer's Mark,avg,0.0,0.0,0.0,0.3014750679107682,0.0,1.0,1.0,0.0,0.0,0.0
68884943570d8b89bc15a116,Travis Mae,Archer's Mark,era,-0.35215,0.168776,-0.183375,6.8133473730075576,-2.6914,-1.0,1.0,0.183375,2.6914,2.6914
68884943570d8b89bc15a116,Travis Mae,Archer's Mark,fip,-0.393122,0.142554,-0.250568,7.066868894970457,-3.5457,-1.0,1.0,0.250568,3.5457,3.5457
68884943570d8b89bc15a116,Travis Mae,Archer's Mark,obp,0.0,0.0,0.0,0.2663122788858794,0.0,1.0,1.0,0.0,0.0,0.0
68884943570d8b89bc15a116,Travis Mae,Archer's Mark,ops,0.0,0.0,0.0,0.5331873843040336,0.0,1.0,1.0,0.0,0.0,0.0
68884943570d8b89bc15a116,Travis Mae,Archer's Mark,slg,0.0,0.0,0.0,0.2668751054181542,0.0,1.0,1.0,0.0,0.0,0.0
68884943570d8b89bc15a116,Travis Mae,Archer's Mark,whip,-0.079486,0.021225,-0.058261,1.8091445204860357,-3.2203,-1.0,1.0,0.058261,3.2203,3.2203
68884943570d8b89bc15a116,Travis Mae,Geometry Expert,avg,0.0,0.0,0.0,0.3014750679107682,0.0,1.0,1.0,0.0,0.0,0.0
68884943570d8b89bc15a116,Travis Mae,Geometry Expert,era,-0.244639,0.401772,0.157132,6.8133473730075576,2.3062,-1.0,1.0,-0.157132,-2.3062,-2.3062
68884943570d8b89bc15a116,Travis Mae,Geometry Expert,fip,-0.292662,0.36204,0.069377,7.066868894970457,0.9817,-1.0,1.0,-0.069377,-0.9817,-0.9817
68884943570d8b89bc15a116,Travis Mae,Geometry Expert,obp,0.0,0.0,0.0,0.2663122788858794,0.0,1.0,1.0,0.0,0.0,0.0
68884943570d8b89bc15a116,Travis Mae,Geometry Expert,ops,0.0,0.0,0.0,0.5331873843040336,0.0,1.0,1.0,0.0,0.0,0.0
68884943570d8b89bc15a116,Travis Mae,Geometry Expert,slg,0.0,0.0,0.0,0.2668751054181542,0.0,1.0,1.0,0.0,0.0,0.0
